,it,it_time,total_time,total_area,energy,sat_0_x,sat_0_y,sat_1_x,sat_1_y,sat_2_x,sat_2_y,sat_3_x,sat_3_y,sat_4_x,sat_4_y,sat_5_x,sat_5_y,sat_6_x,sat_6_y,sat_7_x,sat_7_y,sat_8_x,sat_8_y,sat_9_x,sat_9_y,sat_10_x,sat_10_y,sat_11_x,sat_11_y,sat_12_x,sat_12_y,sat_13_x,sat_13_y,sat_14_x,sat_14_y
0,0,0.020462512969970703,0.020462512969970703,174271.0402710405,0.0,5.292157037902992,1.20047162510167,2.9362139523172175,6.722679597604374,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-1.0493465403346107,6.0704158493099225
1,1,0.015267133712768555,0.03572964668273926,173913.39288358993,0.0,5.292157037902992,1.20047162510167,2.9362139523172175,6.722679597604374,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-0.5493465403346106,6.936441253094361
2,2,0.019277334213256836,0.055006980895996094,174373.83219399792,0.0,5.292157037902992,1.20047162510167,2.9362139523172175,6.722679597604374,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-0.04934654033461089,6.0704158493099225
3,3,0.013054370880126953,0.06806135177612305,174181.78811204282,0.0,5.292157037902992,1.20047162510167,2.9362139523172175,6.722679597604374,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.43920310495270376,-3.4283126216896127,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-0.04934654033461089,6.0704158493099225
4,4,0.015643835067749023,0.08370518684387207,174073.12557230302,0.0,5.292157037902992,1.20047162510167,2.9362139523172175,6.722679597604374,5.602673970449903,-2.9318336396292333,-1.3096565553806736,1.231795505815117,0.43920310495270376,-3.4283126216896127,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-0.04934654033461089,6.0704158493099225
5,5,0.014081478118896484,0.09778666496276855,173549.75785067742,0.0,5.292157037902992,1.20047162510167,3.4362139523172175,7.588705001388813,5.602673970449903,-2.9318336396292333,-1.3096565553806736,1.231795505815117,0.43920310495270376,-3.4283126216896127,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-0.04934654033461089,6.0704158493099225
6,6,0.014646291732788086,0.11243295669555664,173319.79216868203,0.0,5.292157037902992,1.20047162510167,3.4362139523172175,7.588705001388813,5.602673970449903,-2.9318336396292333,-1.3096565553806736,1.231795505815117,0.9392031049527034,-4.294338025474051,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-0.04934654033461089,6.0704158493099225
7,7,0.015561103820800781,0.12799406051635742,173400.61733313993,0.0,5.292157037902992,1.20047162510167,3.4362139523172175,7.588705001388813,5.602673970449903,-2.9318336396292333,-1.3096565553806736,1.231795505815117,0.9392031049527034,-4.294338025474051,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,8.079104721067996,4.443738760805763,-0.04934654033461089,6.0704158493099225
8,8,0.015186786651611328,0.14318084716796875,173938.6435448776,0.0,5.292157037902992,1.20047162510167,3.4362139523172175,7.588705001388813,5.602673970449903,-2.9318336396292333,-1.3096565553806736,1.231795505815117,0.9392031049527034,-4.294338025474051,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-4.618810571875038,4.986300781910931,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,8.079104721067996,4.443738760805763,-0.04934654033461089,6.0704158493099225
9,9,0.025109291076660156,0.1682901382446289,173585.49700603355,0.0,5.292157037902992,1.20047162510167,3.4362139523172175,7.588705001388813,6.102673970449903,-3.797859043413672,-1.3096565553806736,1.231795505815117,0.9392031049527034,-4.294338025474051,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-4.618810571875038,4.986300781910931,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,8.079104721067996,4.443738760805763,-0.04934654033461089,6.0704158493099225
10,10,0.015625715255737305,0.1839158535003662,173316.27617399773,0.0,5.292157037902992,1.20047162510167,3.4362139523172175,7.588705001388813,6.102673970449903,-3.797859043413672,-1.3096565553806736,1.231795505815117,1.4392031049527032,-5.16036342925849,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-4.618810571875038,4.986300781910931,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,8.079104721067996,4.443738760805763,-0.04934654033461089,6.0704158493099225
11,11,0.015621185302734375,0.19953703880310059,173468.45136734465,0.0,5.292157037902992,1.20047162510167,3.4362139523172175,7.588705001388813,6.102673970449903,-3.797859043413672,-0.8096565553806738,0.3657701020306783,1.4392031049527032,-5.16036342925849,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-4.618810571875038,4.986300781910931,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,8.079104721067996,4.443738760805763,-0.04934654033461089,6.0704158493099225
