,it,it_time,total_time,total_area
0,0,24880.77,24880.77,174271.04027104055
1,1,22812.57,47693.34,174207.75480936823
2,2,22673.37,70366.70999999999,174298.60138599767
3,3,22488.37,92855.07999999999,174624.6643454388
4,4,23127.17,115982.24999999999,174692.3030227509
5,5,24791.77,140774.02,175180.57635533443
6,6,20898.57,161672.59,175217.55236022978
7,7,22723.77,184396.36,175878.0701389471
8,8,22278.97,206675.33,176569.10172897717
9,9,23341.17,230016.5,176995.64178626673
10,10,20834.37,250850.87,176998.53022221985
11,11,22681.97,273532.83999999997,177246.66392084255
