,it,it_time,total_time,total_area,sat_0_x,sat_0_y,sat_1_x,sat_1_y,sat_2_x,sat_2_y,sat_3_x,sat_3_y,sat_4_x,sat_4_y,sat_5_x,sat_5_y,sat_6_x,sat_6_y,sat_7_x,sat_7_y,sat_8_x,sat_8_y,sat_9_x,sat_9_y,sat_10_x,sat_10_y,sat_11_x,sat_11_y,sat_12_x,sat_12_y,sat_13_x,sat_13_y,sat_14_x,sat_14_y
0,0,0.00935506820678711,0.00935506820678711,174271.04027104055,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167
1,1,0.0,0.00935506820678711,173707.67546098202,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167
2,2,0.005864143371582031,0.01521921157836914,172552.711346756,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167
3,3,0.0,0.01521921157836914,171858.42993610745,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
4,4,0.0,0.01521921157836914,171691.15090252084,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
5,5,0.0,0.01521921157836914,170777.2609068479,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
6,6,0.002359628677368164,0.017578840255737305,170419.79554657004,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
7,7,0.002588033676147461,0.020166873931884766,170514.49371253134,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
8,8,0.00607752799987793,0.026244401931762695,168992.02802843414,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
9,9,0.0030379295349121094,0.029282331466674805,168609.26703646468,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
10,10,0.006707668304443359,0.035989999771118164,169943.06242334278,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
11,11,0.0,0.035989999771118164,169093.94906742376,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
12,12,0.0,0.035989999771118164,168442.90144490142,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
13,13,0.0046613216400146484,0.04065132141113281,167361.60808861582,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
14,14,0.002630472183227539,0.04328179359436035,167860.19721800106,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
15,15,0.0,0.04328179359436035,167502.68395764165,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
16,16,0.0,0.04328179359436035,166934.89212500508,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
17,17,0.011580228805541992,0.054862022399902344,165773.14761838198,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
18,18,0.0055370330810546875,0.06039905548095703,165662.1008054377,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086,5.792157037902992,2.0664970288861086
